prob_id,control_1,control_2,control_3,case_1,case_2,case_3,logFC,p_value,t,FDR
11718655_s_at,7.64,6.83,7.36,5.35,4.84,5.59,-2.0166666666666666,0.003412541305937169,6.21436878572054,0.006144666635228159
11716331_a_at,6.13,6.98,7.92,3.27,3.87,3.7,-3.3966666666666674,0.0034200900724987997,6.21064429234222,0.0024112552197241817
11717238_a_at,7.87,9.36,9.23,5.35,5.63,5.98,-3.166666666666667,0.003426627492610103,6.207426943700441,0.0017177198884050307
11730293_a_at,9.75,9.9,9.72,8.51,7.56,7.7,-1.8666666666666663,0.003450977926173178,6.19550909331401,0.037854924505442256
11717975_a_at,8.89,8.06,8.34,6.19,6.63,5.68,-2.2633333333333345,0.0035141022736688266,6.165089331332849,0.0025567708903082424
11717847_a_at,9.46,9.86,8.98,6.82,7.64,6.74,-2.3666666666666663,0.003516597984272045,6.163900467884942,0.003485731027097791
11720188_a_at,9.56,9.5,9.44,7.56,6.45,6.03,-2.8200000000000003,0.003522520180794847,6.161083498920323,0.011841574554801138
11722225_a_at,9.53,10.13,9.22,7.31,7.94,7.27,-2.12,0.0035236499911030857,6.160546751159506,0.029681522803952472
11718994_x_at,8.47,8.99,8.71,6.25,6.94,7.17,-1.9366666666666683,0.0035343451981410365,6.155476149860084,0.008889988953859418
11715545_at,6.18,6.58,6.16,4.08,4.89,4.73,-1.740000000000001,0.003546589849727174,6.149694056471646,0.0005157195860956559
11716083_a_at,9.36,9.85,10.12,6.54,7.72,6.42,-2.883333333333332,0.0035970335729245636,6.126129922197575,0.0008154870838049352
11722414_at,9.07,8.99,8.82,4.43,6.43,5.3,-3.573333333333334,0.00360506295145981,6.122416565731601,0.013372543701797227
11716856_a_at,8.42,8.98,8.76,7.34,7.05,6.54,-1.7433333333333323,0.0036157668133649213,6.117482109336461,0.0011249901245430204
11717892_a_at,8.63,9.27,8.57,7.11,6.14,6.64,-2.1933333333333325,0.003619053256471359,6.115970666396676,0.011147434668416657
11724389_a_at,8.94,8.63,7.96,6.04,6.54,6.65,-2.0999999999999996,0.0036738634408220805,6.091009160783379,0.014325110531803879
11717159_a_at,9.79,9.31,8.85,7.76,7.5,7.59,-1.700000000000001,0.0038099428384121836,6.030964708050195,0.003140547717609997
11726718_a_at,9.1,8.1,8.41,5.62,6.15,6.57,-2.423333333333334,0.003872190320936784,6.004369713938709,0.04943621334511378
11720747_a_at,8.15,6.79,7.81,4.52,5.23,4.72,-2.76,0.003884405306052578,5.999212505410632,0.00854117718174993
11720323_s_at,9.73,9.59,8.63,7.1,6.04,6.18,-2.876666666666668,0.003888031879634279,5.997685185875612,0.00562637297930514
11726276_at,7.48,8.02,8.09,5.91,6.38,5.48,-1.9400000000000004,0.003892372792933503,5.9958593226654235,0.026840815946268158
11718147_a_at,7.18,6.64,7.63,5.39,5.23,5.5,-1.7766666666666655,0.003912011009716872,5.987630274565762,0.004243342025097044
11723012_a_at,7.7,8.16,8.66,6.25,5.72,5.21,-2.446666666666667,0.003912801788536614,5.987299975398669,0.01915645478829169
11717155_a_at,10.48,10.87,9.56,7.97,7.19,7.68,-2.6900000000000013,0.003940035312293377,5.975974600696038,0.0032434531116952107
11720483_x_at,9.05,9.4,9.48,6.31,7.61,6.87,-2.380000000000001,0.003965295141361068,5.965555582101416,0.008072330207763262
11716692_x_at,7.07,8.2,7.3,5.34,5.55,5.11,-2.1900000000000004,0.0039790053507074725,5.959934531366089,0.0009541155978204499
11718803_a_at,7.15,7.81,7.84,5.28,4.3,5.5,-2.573333333333334,0.003991410871044061,5.954868840063746,0.0058112022564429005
11717016_a_at,11.35,10.29,10.2,7.34,7.91,8.31,-2.759999999999999,0.004016473201838119,5.944693553354866,0.003195811291650045
11722510_at,9.72,9.33,8.24,5.13,6.25,4.8,-3.7033333333333323,0.004027919042747522,5.940072438929233,0.009114580643997046
11722180_x_at,8.34,8.4,8.16,7.05,6.8,6.16,-1.6300000000000017,0.0040410315917571785,5.934798179379003,0.019001892426008044
11723901_a_at,9.02,7.79,8.41,4.93,6.11,5.14,-3.0133333333333328,0.00405123998118579,5.930706579923157,0.014148871703545198
11718525_s_at,9.24,9.66,9.32,7.58,6.17,6.43,-2.6799999999999997,0.004053239525189899,5.929906629492512,0.0028480303969935354
11716766_a_at,8.82,8.89,8.71,5.06,6.69,5.09,-3.1933333333333334,0.004120587993730995,5.903242204904786,0.0018593517231044133
11717719_a_at,11.58,11.81,11.72,10.21,9.76,9.05,-2.0299999999999994,0.004135644023328417,5.897354359974627,0.005407753410877088
