gene,A7-A0D9-11A,A7-A0DB-11A,A7-A13G-11A,A7-A0D9-01A,A7-A0DB-01A,A7-A13G-01A
ADAMTS15|170689,2767,2038,1052,100,6337,2200
ADAMTS16|170690,398,2438,572,415,2165,996
ADAMTS17|170691,149,338,120,629,529,509
ADAMTS18|170692,668,1042,431,116,326,51
ADAMTS19|171019,25,180,5,19,244,353
ADAMTS1|9510,30558,18344,12750,2218,2639,981
ADAMTS20|80070,1,0,1,0,5,62
ADAMTS2|9509,7093,9060,1786,3590,2867,1918
ADAMTS3|9508,721,426,819,94,185,80
ADAMTS4|9507,2092,1221,635,1466,2586,2856
ADAMTS5|11096,11424,35211,9732,586,1978,453
ADAMTS6|11174,268,533,85,517,309,416
ADAMTS7|11173,904,1115,350,1100,700,400
ADAMTS8|11095,52,70,13,68,45,23
ADAMTS9|56999,3023,3465,3600,1140,894,382
ADAMTSL1|92949,1155,3146,1540,571,769,199
ADAMTSL2|9719,534,477,319,1358,1004,661
ADAMTSL3|57188,2425,4209,3777,3377,1821,3167
ADAMTSL4|54507,6584,10289,5084,602,1103,909
ADAMTSL5|339366,148,281,84,1071,392,873
ADAP1|11033,538,782,111,3335,1206,526
ADAP2|55803,1940,3826,1170,1086,1791,645
ADARB1|104,3630,3423,2653,3657,2480,1245
ADARB2|105,14,28,0,15,7,3
ADAR|103,20389,23342,21880,31673,65877,71499
ADAT1|23536,1666,1507,1410,1995,1379,2129
ADAT2|134637,435,628,626,511,355,338
ADAT3|113179,60,77,29,148,242,159
ADA|100,970,1327,474,531,757,183
ADCK1|57143,864,961,318,1201,1230,854
ADCK2|90956,2070,2403,1334,6308,8083,2539
ADCK4|79934,1857,1439,802,2277,3621,3940
ADCK5|203054,298,269,172,3527,537,413
ADCY10|55811,30,34,39,176,49,56
ADCY1|107,709,1011,815,6318,1762,13850
ADCY2|108,399,452,253,98,3693,118
ADCY3|109,6100,9449,4962,6055,2878,1749
ADCY4|196883,3111,2844,2840,626,643,391
ADCY5|111,3564,2858,3710,3608,669,1946
ADCY6|112,24960,13022,19702,19506,9074,20573
ADCY7|113,5454,5953,1897,5881,2273,1694
ADCY8|114,15,275,10,5,1,1
ADCY9|115,2713,4169,2008,4643,7202,7380
ADCYAP1R1|117,546,188,154,22,49,10
ADCYAP1|116,23,20,2,3,23,1
ADC|113451,228,247,204,777,876,774
ADD1|118,41763,33758,23683,24275,27007,25481
ADD2|119,233,388,228,149,163,76
ADD3|120,15446,22385,14989,2814,9335,18276
ADH1A|124,3159,4832,11032,85,267,42
ADH1B|125,269996,382829,826454,10592,27238,2562
ADH1C|126,6561,3059,5165,531,234,30
ADH4|127,41,108,102,34,26,29
ADH5|128,24734,19163,22823,8502,12237,7633
ADH6|130,41,64,28,15,17,4
ADH7|131,247,259,12,834,0,0
ADHFE1|137872,2422,2385,5476,1794,574,804
ADI1|55256,12537,12004,7011,8424,7177,3382
ADIG|149685,2,0,0,0,0,0
ADIPOQ|9370,498833,218532,951734,8678,16234,3486
ADIPOR1|51094,11256,9187,7945,19823,18582,27746
ADIPOR2|79602,27324,14460,23773,8732,12204,13770
ADK|132,4078,2709,2402,5257,3679,3338
ADM2|79924,131,144,135,1451,659,1400
ADM|133,6859,2563,2967,425,579,99
ADNP2|22850,2426,2046,2718,2512,4613,5799
ADNP|23394,7978,7769,7919,27090,23597,18560
ADORA1|134,970,652,1141,306,439,153
ADORA2A|135,186,212,136,724,401,785
ADORA2B|136,141,313,26,247,264,56
ADORA3|140,391,2123,198,468,1405,518
ADO|84890,2068,2192,1869,4550,3493,2823
ADPGK|83440,3239,4245,2922,21617,6408,4761
ADPRHL1|113622,259,170,209,623,443,307
ADPRHL2|54936,1683,1952,790,2868,3690,2178
ADPRH|141,2018,3245,1670,456,1694,1038
ADRA1A|148,639,577,1048,254,256,245
ADRA1B|147,390,853,290,118,241,23
ADRA1D|146,18,56,17,63,19,2
ADRA2A|150,13572,5090,11341,798,4223,3955
ADRA2B|151,260,236,106,102,122,24
ADRA2C|152,366,516,197,2527,145,41
ADRB1|153,668,336,393,23,36,13
ADRB2|154,2147,2059,3299,96,289,62
ADRB3|155,299,10,186,19,2,1
ADRBK1|156,5884,6930,2647,10068,7282,7368
ADRBK2|157,21683,18976,35431,4638,3911,5508
ADRM1|11047,5112,4833,1563,17363,7849,5803
ADSL|158,3020,3307,2372,4774,3022,3459
